ID	Gender	Age	Time	X_position	Y_position	POINT	SubChain	SubChain_Start_end_tag	SubChain_ID	iter	WGS_distance	Time_Consume	Speed	t_p_i	residual	from	to	osmid	e_i	oneway	length	highway	highway_l	SpeedKM	Overspeeding
C0000016	男	23	2020-05-01 21:12:58	113.03617302	28.19780509	SRID=4326;POINT(113.03617301945229 28.197805089278173)	1	1	C0000016.1	1.0	0.0	0.0	0.0	0	8.209894700163051	1960074958	1958600301	542788502	7680	0	500.64200000000005	['tertiary']	2.0	0.0	0
C0000016	男	23	2020-05-01 21:12:59	113.03617442	28.19781168	SRID=4326;POINT(113.03617442159725 28.19781167901664)	1	0	C0000016.1	1.0	0.7431438761458021	1.0	0.7431438761458021	1	8.644135178947923	1960074958	1958600301	542788502	7680	0	500.64200000000005	['tertiary']	2.0	2.6753179541248877	0
C0000016	男	23	2020-05-01 21:13:09	113.03617907	28.19781802	SRID=4326;POINT(113.0361790706494 28.197818024363006)	1	0	C0000016.1	1.0	0.8379151172436314	10.0	0.0837915117243631	2	8.903712806312651	1960074958	1958600301	542788502	7680	0	500.64200000000005	['tertiary']	2.0	0.3016494422077072	0
C0000016	男	23	2020-05-01 21:13:19	113.03590291	28.19762055	SRID=4326;POINT(113.035902907626 28.197620553768736)	1	0	C0000016.1	1.0	34.84362134859229	10.0	3.4843621348592286	3	14.800023616493107	1960074958	1958600301	542788502	7680	0	500.64200000000005	['tertiary']	2.0	12.543703685493224	0
C0000016	男	23	2020-05-01 21:13:29	113.03558398	28.19760858	SRID=4326;POINT(113.0355839758704 28.1976085790909)	1	2	C0000016.1	1.0	31.34122138657849	10.0	3.1341221386578484	4	16.300877496758226	1960074958	1958600301	542788502	7680	0	500.64200000000005	['tertiary']	2.0	11.282839699168255	0
C0000021	男	33	2020-05-01 14:29:59	113.02014452	28.20261589	SRID=4326;POINT(113.0201445203028 28.202615893428124)	1	1	C0000021.1	1.0	0.0	0.0	0.0	0	10.042477144007627	3135065113	6302474370	308219879	11670	1	128.013	['tertiary']	2.0	0.0	0
C0000021	男	33	2020-05-01 14:30:09	113.02018072	28.20264139	SRID=4326;POINT(113.02018072429902 28.20264138701659)	1	0	C0000021.1	1.0	4.540616219773336	10.0	0.4540616219773336	1	7.234909482388259	3135065113	6302474370	308219879	11670	1	128.013	['tertiary']	2.0	1.6346218391184009	0
C0000021	男	33	2020-05-01 14:30:22	113.02013876	28.20260861	SRID=4326;POINT(113.02013875966904 28.202608612848042)	1	0	C0000021.1	1.0	5.492489283634133	13.0	0.4224991756641642	2	10.949809260887122	3135065113	6302474370	308219879	11670	1	128.013	['tertiary']	2.0	1.5209970323909912	0
C0000021	男	33	2020-05-01 14:30:33	113.02017506	28.20254096	SRID=4326;POINT(113.02017506371776 28.20254095616657)	1	0	C0000021.1	1.0	8.301102197536935	11.0	0.7546456543215395	3	13.949312073140366	3135065113	6302474370	308219879	11670	1	128.013	['tertiary']	2.0	2.716724355557542	0
C0000021	男	33	2020-05-01 14:30:43	113.02012083	28.20239116	SRID=4326;POINT(113.02012082778622 28.202391160460685)	1	0	C0000021.1	1.0	17.434104217396094	10.0	1.7434104217396098	4	4.290792398691453	3135065113	6302474370	308219879	11670	1	128.013	['tertiary']	2.0	6.276277518262596	0
